url,api,type,boot,logo,urls,user-agent,pass,timeout,core,ua,epg,catchup,playertype,ext,name
http://127.0.0.1:35457/bililive.m3u,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,okhttp/3.15,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,,,feiyang.bililive
http://127.0.0.1:35457/huyayqk.m3u,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,okhttp/3.15,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,,,feiyang.huyayqk
http://127.0.0.1:35457/douyuyqk.m3u,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,okhttp/3.15,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,,,feiyang.douyuyqk
http://127.0.0.1:35457/yylunbo.m3u,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,okhttp/3.15,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,,,feiyang.yylunbo
https://6296.kstore.vip/25.txt,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,,http://epg.112114.xyz/?ch={name}&date={date},,1,,live
http://127.0.0.1:9978/proxy?do=live&url=https://tv.iill.top/m3u/Gather,,0,,,,,,,,,,,2,,直播
https://live.fanmingming.com/tv/m3u/ipv6.m3u,,0,,,,,,,,,,,2,,范明明
,csp_Ysptp,3,,https://live.fanmingming.com/tv/{name}.png,,,,,,,,,,https://raw.githubusercontent.com/PizazzGY/TVBox/main/live.txt,肥羊
https://git.acwing.com/iduoduo/orange/-/raw/main/ITV.txt,,0,,,,,,3,,"okhttp/3.15,AptvPlayer/1.4.0",http://epg.51zmt.top:8000/e.xml,,2,,ITV
https://9877.kstore.space/Live/live.m3u,csp_Feiyang,3,,,,,,10,,okhttp/3.15,,"{'type': 'append', 'source': ""?livemode=4&starttime=${(b)yyyyMMdd'T'HHmm}00.00Z&endtime=${(e)yyyyMMdd'T'HHmm}00.00Z""}",,,肥羊直播
https://wget.la/https://raw.githubusercontent.com/PizazzGY/TV/master/output/user_result.txt,,0,,,,,,10,,,http://cdn.1678520.xyz/epg/?ch={name}&date={date},,2,,AI直播
https://9877.kstore.space/Live/huyayqk.m3u,csp_Feiyang,3,,,,,,10,,okhttp/3.15,,,,,虎牙一起看
https://9877.kstore.space/Live/douyuyqk.m3u,csp_Feiyang,3,,,,,,10,,okhttp/3.15,,,,,斗鱼一起看
https://9877.kstore.space/Live/yylunbo.m3u,csp_Feiyang,3,,,,,,10,,okhttp/3.15,,,,,YY轮播
http://127.0.0.1:9978/proxy?do=live&u=Gather,,0,,,,,,10,,,,,2,,电视Live
